Date,Open,High,Low,Close,Volume,Company
27-09-2020,113,113.1800003,112.3399963,113.0899963,24607400,APPLE
28-09-2020,113.6900024,114.6399994,113.4300003,113.9499969,29641100,APPLE
29-09-2020,113.1600037,113.8000031,111.8000031,112.1800003,35887000,APPLE
30-09-2020,112.4599991,113.3700027,111.8000031,113.0500031,36379100,APPLE
03-10-2020,112.7099991,113.0500031,112.2799988,112.5199966,21701800,APPLE
04-10-2020,113.0599976,114.3099976,112.6299973,113,29736800,APPLE
05-10-2020,113.4000015,113.6600037,112.6900024,113.0500031,21453100,APPLE
06-10-2020,113.6999969,114.3399963,113.1299973,113.8899994,28779300,APPLE
07-10-2020,114.3099976,114.5599976,113.5100021,114.0599976,24358400,APPLE
10-10-2020,115.0199966,116.75,114.7200012,116.0500031,36236000,APPLE
11-10-2020,117.6999969,118.6900024,116.1999969,116.3000031,64041000,APPLE
12-10-2020,117.3499985,117.9800034,116.75,117.3399963,37586800,APPLE
13-10-2020,116.7900009,117.4400024,115.7200012,116.9800034,35192400,APPLE
14-10-2020,117.8799973,118.1699982,117.1299973,117.6299973,35652200,APPLE
17-10-2020,117.3300018,117.8399963,116.7799988,117.5500031,23624900,APPLE
18-10-2020,118.1800003,118.2099991,117.4499969,117.4700012,24553500,APPLE
19-10-2020,117.25,117.7600021,113.8000031,117.1200027,20034600,APPLE
20-10-2020,116.8600006,117.3799973,116.3300018,117.0599976,24125800,APPLE
21-10-2020,116.8099976,116.9100037,116.2799988,116.5999985,23192700,APPLE
24-10-2020,117.0999985,117.7399979,117,117.6500015,23538700,APPLE
25-10-2020,117.9499969,118.3600006,117.3099976,118.25,48129000,APPLE
26-10-2020,114.3099976,115.6999969,113.3099976,115.5899963,66134200,APPLE
27-10-2020,115.3899994,115.8600006,114.0999985,114.4800034,34562000,APPLE
28-10-2020,113.8700027,115.2099991,113.4499969,113.7200012,37861700,APPLE
31-10-2020,113.6500015,114.2300034,113.1999969,113.5400009,26419400,APPLE
01-11-2020,113.4599991,113.7699966,110.5299988,111.4899979,43825800,APPLE
02-11-2020,111.4000015,112.3499985,111.2300034,111.5899963,28331700,APPLE
03-11-2020,110.9800034,111.4599991,109.5500031,109.8300018,26932600,APPLE
04-11-2020,108.5299988,110.25,108.1100006,108.8399963,30837000,APPLE
07-11-2020,110.0800018,110.5100021,109.4599991,110.4100037,32560000,APPLE
08-11-2020,110.3099976,111.7200012,109.6999969,111.0599976,24254200,APPLE
09-11-2020,109.8799973,111.3199997,108.0500031,110.8799973,59176400,APPLE
10-11-2020,111.0899963,111.0899963,105.8300018,107.7900009,57134500,APPLE
11-11-2020,107.1200027,108.8700027,106.5500031,108.4300003,34143900,APPLE
14-11-2020,107.7099991,107.8099976,104.0800018,105.7099991,51175500,APPLE
15-11-2020,106.5699997,107.6800003,106.1600037,107.1100006,32264500,APPLE
16-11-2020,106.6999969,110.2300034,106.5999985,109.9899979,58840500,APPLE
17-11-2020,109.8099976,110.3499985,108.8300018,109.9499969,27632000,APPLE
18-11-2020,109.7200012,110.5400009,109.6600037,110.0599976,28428900,APPLE
21-11-2020,110.1200027,111.9899979,110.0100021,111.7300034,29264600,APPLE
22-11-2020,111.9499969,112.4199982,111.4000015,111.8000031,25965500,APPLE
23-11-2020,111.3600006,111.5100021,110.3300018,111.2300034,27426400,APPLE
25-11-2020,111.1299973,111.8700027,110.9499969,111.7900009,11475900,APPLE
28-11-2020,111.4300003,112.4700012,111.3899994,111.5699997,27194000,APPLE
29-11-2020,110.7799988,112.0299988,110.0699997,111.4599991,28528800,APPLE
